trajectory_id,time_s,time_min,dataset_split,recipe_stage,product,batch_number,season,disturbance_type,source_row_index,window_start_time_min,window_end_time_min,future_time_min,T_K,dTdt_K_min,feed_rate_kg_s,viscosity_proxy,U_kW_m2_K,reaction_rate_kg_s,Q_feed_kW,Q_reaction_kW,Q_jacket_kW,Q_loss_kW,conversion_proxy,solids_fraction,valve_actual_pct
91,35500.0,591.6666666666666,train,hold,A,1,winter,none,165666,570.6666666666666,591.6666666666666,594.3333333333334,355.4141707960653,0.2464373895647134,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,1.9039134596017,-0.4435772825621041,0.999999999982198,0.5680819735827211,50.72349697270543
91,35660.0,594.3333333333334,train,hold,A,1,winter,none,165674,573.3333333333334,594.3333333333334,597.0,355.30654280839696,0.0426890931353656,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,0.6959330156138289,-0.4429664216213343,0.999999999982198,0.5680819735827211,50.994346477081294
91,35820.0,597.0,train,hold,A,1,winter,none,165682,576.0,597.0,599.6666666666666,355.3687312871993,-0.1822814212165434,0.0,578.2653268606745,0.2,0.0,-0.0,0.0,-0.6368420093047443,-0.4433193829048188,0.999999999982198,0.5680819735827211,50.534483287271705
92,1260.0,21.0,train,heatup,B,5,winter,none,165755,0.0,21.0,23.666666666666668,335.3868284574937,2.08603013767103,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,7.778671387913166,-0.3299086964713434,0.999999999910929,0.2079959982955703,50.6654260585757
92,1420.0,23.666666666666668,train,heatup,B,5,winter,none,165763,2.6666666666666665,23.666666666666668,26.33333333333333,340.95210349121,2.1001617988366803,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,7.860719159692228,-0.3614953610219558,0.999999999910929,0.2079959982955703,50.55278940690712
92,1580.0,26.33333333333333,train,heatup,B,5,winter,none,165771,5.333333333333333,26.33333333333333,29.0,345.09854100604133,1.341802489268598,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,5.176315808238493,-0.3850291720317586,0.999999999910929,0.2079959982955703,50.46161403326304
92,1740.0,29.0,train,heatup,B,5,winter,none,165779,8.0,29.0,31.666666666666668,348.570446483565,0.9612520948219818,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,3.837158001741508,-0.4047345617933753,0.999999999910929,0.2079959982955703,50.21472699209371
92,1900.0,31.666666666666668,train,heatup,B,5,winter,none,165787,10.666666666666666,31.666666666666668,34.333333333333336,350.3717591567773,0.6216003521329388,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,2.6345587062839515,-0.4149582180933461,0.999999999910929,0.2079959982955703,50.24088725718575
92,2060.0,34.333333333333336,train,heatup,B,5,winter,none,165795,13.333333333333334,34.333333333333336,37.0,352.0643587553582,0.6379020158159473,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,2.702375060183353,-0.424564854857024,0.999999999910929,0.2079959982955703,50.23969093399705
92,2220.0,37.0,train,heatup,B,5,winter,none,165803,16.0,37.0,39.66666666666666,353.30659139893555,0.2073728587440036,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,1.1720990088804015,-0.4316153574051966,0.999999999910929,0.2079959982955703,50.0647611040128
92,2380.0,39.66666666666666,train,heatup,B,5,winter,none,165811,18.666666666666668,39.66666666666666,42.333333333333336,353.8045405082343,0.2063179216363964,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,1.1711582513325485,-0.4344415522263702,0.999999999910929,0.2079959982955703,50.098866932659256
92,2540.0,42.333333333333336,train,heatup,B,5,winter,none,165819,21.33333333333333,42.333333333333336,45.0,354.3586587970378,0.1978505645262641,0.0,1.926108777512495,1.0993322957576803,0.0,-0.0,0.0,1.1440681420008412,-0.4375865447745834,0.999999999910929,0.2079959982955703,50.0985690717527
92,2700.0,45.0,train,feed,B,5,winter,none,165827,24.0,45.0,47.66666666666666,354.37039134113866,-0.6316884553183634,0.0018385591292394,1.9398083686381216,1.0992552081959504,0.0009770032426603,-0.2316769842070198,0.6590277673041224,-2.248244958177654,-0.4376531348231605,0.992931169624454,0.2083557647373685,50.831585596216286
92,2860.0,47.66666666666666,train,feed,B,5,winter,none,165835,26.666666666666668,47.66666666666666,50.333333333333336,354.6863416945392,-0.1718965375229436,0.0027441045777244,2.082072348296729,1.0984550079304742,0.0023566840894758,-0.3472370655869399,1.5896776857150257,-1.4206003598867063,-0.4394463647654452,0.9838846065472642,0.2119483804666751,47.631467629212906
92,3020.0,50.333333333333336,train,feed,B,5,winter,none,165843,29.33333333333333,50.333333333333336,53.0,353.75283524838085,0.99225787517738,0.0030036298549275,2.339224070412732,1.0970100666026164,0.0028473205659655,-0.3753806662352534,1.9206316145664173,2.477059447819096,-0.4341480902341778,0.981193201733998,0.2178598302904524,51.2151358837133
92,3180.0,53.0,train,feed,B,5,winter,none,165851,32.0,53.0,55.66666666666666,354.2723200625404,-1.4194882732684675,0.0030266748218416,2.6711654377449148,1.0951476843661931,0.003049742950519,-0.3808943484550827,2.057173609843143,-6.408161717180464,-0.4370965146093588,0.981369022672032,0.2245956470505786,49.31991145178616
92,3340.0,55.66666666666666,train,feed,B,5,winter,none,165859,34.666666666666664,55.66666666666666,58.333333333333336,354.4158089967502,1.818970329862493,0.0031030719841306,3.0555592282838053,1.092994955468731,0.0031256643657793,-0.3912544159470542,2.1083856412928075,5.391257076409375,-0.4379109104485851,0.9821126151149696,0.2314204063706489,49.32939016705653
92,3500.0,58.333333333333336,train,feed,B,5,winter,none,165867,37.333333333333336,58.333333333333336,61.0,353.9409993665546,-0.4959046958410479,0.0030719310612876,3.4950141157349286,1.0905390391524816,0.0030714536863806,-0.3848848511090543,2.071818369611228,-3.083149438950055,-0.4352160476747729,0.983200535396426,0.2382414614566963,50.802725727827
92,3660.0,61.0,train,feed,B,5,winter,none,165875,40.0,61.0,63.66666666666666,354.88773040470704,-0.1670985014231169,0.003075196955774,3.986948955628744,1.0877963672801103,0.0031669393597169,-0.3901706066832155,2.1362272757034577,-1.9269206002231345,-0.4405893806260836,0.9840539606830258,0.2449261747105623,47.54488643882385
92,3820.0,63.66666666666666,train,feed,B,5,winter,none,165883,42.66666666666666,63.66666666666666,66.33333333333333,354.0606595994981,0.9171451126482943,0.0030953889360234,4.5372900912900045,1.084736220484409,0.0030835613336413,-0.3884443197131784,2.0799854619944607,2.179040728842171,-0.4358951996690833,0.9849295359986976,0.2514898128848013,51.16835671005111
92,3980.0,66.33333333333333,train,feed,B,5,winter,none,165891,45.333333333333336,66.33333333333333,69.0,354.5357914483659,-1.317384448267966,0.0030583073904028,5.15456695457678,1.08131410021371,0.0031029721897689,-0.3862248503235094,2.0930788608867243,-6.236039793342175,-0.4385918912497469,0.985780615532842,0.2579645931569017,49.335739844197846
92,4140.0,69.0,train,feed,B,5,winter,none,165899,48.0,69.0,71.66666666666667,354.6062594960117,1.7522378838225705,0.0031177507110039,5.836564986079161,1.077545697280141,0.0031294585855094,-0.3940997769581288,2.110944994269576,5.375075669832005,-0.4389918446337288,0.9863664190715132,0.2642721732313358,49.35547974672399
92,4300.0,71.66666666666667,train,feed,B,5,winter,none,165907,50.66666666666666,71.66666666666667,74.33333333333333,354.15983256482946,-0.501055541769033,0.0030856677738645,6.601315011228242,1.0733356296131924,0.0030597615322134,-0.3877369734594583,2.0639315439392805,-3.1551456371855777,-0.4364580726932257,0.9871154661199922,0.2705222461671983,50.79588572254356
92,4460.0,74.33333333333333,train,feed,B,5,winter,none,165915,53.333333333333336,74.33333333333333,77.0,355.0467874623085,-0.1558031520382067,0.0030869971839463,7.446147079890077,1.068703777396905,0.0031509999978237,-0.3924902193454567,2.125475538532053,-1.891131341776265,-0.4414921359962004,0.98762621461929,0.27663533524419,47.54633527311413
92,4620.0,77.0,train,feed,B,5,winter,none,165923,56.0,77.0,79.66666666666667,354.2458191193534,0.8436140758666042,0.0031033962828968,8.381459314424927,1.0635991218891288,0.0030758969257724,-0.3904116660592895,2.0748155123105394,2.021176756183764,-0.4369461040011407,0.9881629253828816,0.2826416963476222,51.17682125173626
92,4780.0,79.66666666666667,train,feed,B,5,winter,none,165931,58.66666666666666,79.66666666666667,82.33333333333333,354.6996494903886,-1.2411067867309142,0.0030604682094124,9.421140601174162,1.057953400821522,0.0030975394561591,-0.3873377168459133,2.089414264757594,-6.1035176124672414,-0.4395218954231139,0.988708565754836,0.2885774385973568,49.3141522483217
92,4940.0,82.33333333333333,train,feed,B,5,winter,none,165939,61.333333333333336,82.33333333333333,85.0,354.73977320691023,1.6708370504361534,0.0030838030309434,10.558893200180238,1.0518093925899237,0.0031042873662362,-0.3904982627610935,2.0939660000210134,5.296531180642725,-0.4397496243972642,0.9891355673605116,0.2943648648923107,49.37835837713463
92,5100.0,85.0,train,feed,B,5,winter,none,165947,64.0,85.0,87.66666666666667,354.3315717576159,-0.5035201680428251,0.0030074680153126,11.81072795073674,1.0450904590206314,0.0030172810947765,-0.3787757332480163,2.0352767896705606,-3.208944444001547,-0.4374328076775479,0.9897143974992332,0.300052164619111,50.77262411318799
92,5260.0,87.66666666666667,train,feed,B,5,winter,none,165955,66.66666666666667,87.66666666666667,90.33333333333331,355.162426705856,-0.101755645406142,0.0030365790968636,13.17026709005952,1.037841955545845,0.0030869479702236,-0.3866680826857748,2.082269883834638,-1.658175343463277,-0.4421484661816256,0.9900881519359904,0.3055828006050107,47.57819720341419
92,5420.0,90.33333333333331,train,feed,B,5,winter,none,165963,69.33333333333333,90.33333333333331,93.0,354.3857814017579,0.7705058918638208,0.0030062910574372,14.654637748955672,1.0299851812489729,0.0029901006709023,-0.3789004759173814,2.0169425065504925,1.883771688973324,-0.4377404837285154,0.9905225572723656,0.3110038696163653,51.22074825726917
92,5580.0,93.0,train,feed,B,5,winter,none,165971,72.0,93.0,95.66666666666669,354.8176263302495,-1.1707986751862989,0.0029596165067091,16.269089394913536,1.0215072602544306,0.002984864850284,-0.3751586185808561,2.013410736110578,-5.913735746635941,-0.4401914930338071,0.9909619027316712,0.3163089506342693,49.310913859142254
92,5740.0,95.66666666666669,train,feed,B,5,winter,none,165979,74.66666666666667,95.66666666666669,98.33333333333331,354.8391013130813,1.5544079883056636,0.0029723202264821,18.00598141337606,1.0124641196476785,0.0030060251703113,-0.376875848057998,2.0276842183817854,5.088987214718422,-0.4403133779496161,0.9911921064418332,0.3214580395747221,49.380024725698426
92,5900.0,98.33333333333331,train,feed,B,5,winter,none,165987,77.33333333333333,98.33333333333331,101.0,354.4820660026473,-0.5040366833184697,0.0029480683467602,19.91096804608336,1.0026376354623716,0.0029444522468289,-0.3720377813156374,1.9861508185759744,-3.2310733252740502,-0.4382869633492451,0.9915533267830944,0.3265629499581554,50.73285800448653
92,6060.0,101.0,train,feed,B,5,winter,none,165995,80.0,101.0,103.66666666666669,355.22465682318534,-0.0627646982671032,0.0029619380885591,21.97265561020874,0.9921100609408566,0.0030170456181276,-0.3774722789636258,2.0351179512518263,-1.472635649360781,-0.4425016637916484,0.991778116214766,0.3315643720638506,47.59500935898303
92,6220.0,103.66666666666669,train,feed,B,5,winter,none,166003,82.66666666666667,103.66666666666669,106.33333333333331,354.5042871590784,0.6856753160121504,0.0029938778209712,24.209840606052754,0.9808111157480132,0.0029470902450107,-0.3779302391915276,1.9879302538695232,1.658414099254763,-0.4384130833001665,0.9920410223400874,0.3364862214875401,51.23492288421272
92,6380.0,106.33333333333331,train,feed,B,5,winter,none,166011,85.33333333333333,106.33333333333331,109.0,354.91365670548777,-1.0526918380841803,0.0029627736068568,26.64614090182409,0.9686525723821752,0.0029726059806468,-0.3760353748051721,2.005141638185495,-5.55939987519578,-0.4407365297536358,0.9922886826753724,0.3413534877981212,49.304190147163865
92,6540.0,109.0,train,feed,B,5,winter,none,166019,88.0,109.0,111.66666666666669,354.9110147555747,1.425837544764833,0.002983676204168,29.26943784235856,0.9557289514104906,0.0029909959798498,-0.3786751299432866,2.0175464282479414,4.757710270216905,-0.4407215349177726,0.9924532487521136,0.3461199629832165,49.42720762327848
92,6700.0,111.66666666666669,train,feed,B,5,winter,none,166027,90.66666666666669,111.66666666666669,114.33333333333331,354.5865133616008,-0.4868319094372746,0.0029555930657127,32.12809633484908,0.9418417019182974,0.0029460493167762,-0.3735044583101661,1.9872281061382608,-3.2205152591079336,-0.4388797720910368,0.9926989250012098,0.350850268970423,50.72237670045861
92,6860.0,114.33333333333331,train,feed,B,5,winter,none,166035,93.33333333333331,114.33333333333331,117.0,355.26232085268884,-0.0495224394733763,0.0029231267651377,35.19249249396914,0.9271785889210656,0.0029682571012019,-0.3727105380790898,2.0022081450447646,-1.3960968586579874,-0.4427154323939805,0.9929690935423208,0.3554747286607824,47.6046949347341
92,7020.0,117.0,train,feed,B,5,winter,none,166043,96.0,117.0,119.66666666666669,354.6052272180623,0.569108313993096,0.0029143655861151,38.461833761382096,0.9117859636387896,0.0029051157680635,-0.3683858086087991,1.959616790189592,1.267109048359874,-0.4389859857647396,0.9931649572767322,0.3599840505030216,51.236915450431546
92,7180.0,119.66666666666669,train,feed,B,5,winter,none,166051,98.66666666666669,119.66666666666669,122.33333333333331,354.9939256937254,-0.9208295726134564,0.0029120013420679,41.98508025480293,0.8954833543215657,0.0029161719908285,-0.3699828766087325,1.9670746546934703,-5.092974357739148,-0.4411921100421063,0.9933790785329172,0.3644331827069763,49.26632362504397
92,7340.0,122.33333333333331,train,feed,B,5,winter,none,166059,101.33333333333331,122.33333333333331,125.0,354.9364585716983,1.2850192776488687,0.0029113633400479,45.74585043249074,0.8784026186224989,0.002927587857671,-0.3696215752294692,1.9747751135134373,4.361234871360864,-0.440865945621631,0.9935003061450096,0.3687878407543756,49.42676782280969
92,7500.0,125.0,train,feed,B,5,winter,none,166067,104.0,125.0,127.66666666666669,354.6579701378314,-0.4816628163314775,0.0029111911722981,49.8070817699778,0.8603223143528823,0.0028925271397279,-0.3682417392217166,1.951125256832112,-3.2264850839322192,-0.4392853371721856,0.9936775820060724,0.3731054088486994,50.65841638276579
92,7660.0,127.66666666666669,train,feed,B,5,winter,none,166075,106.66666666666669,127.66666666666669,130.33333333333334,355.21262949023435,0.0045182354959491,0.002911144712047,54.15205331661242,0.8413899865727976,0.0029418234627603,-0.3709404742303083,1.984377598570375,-1.1513550106119848,-0.4424334006188384,0.9938131273418184,0.3773510288305338,47.6162713460199
92,7820.0,130.33333333333334,train,feed,B,5,winter,none,166083,109.33333333333331,130.33333333333334,133.0,354.6073772728672,0.4364990199570229,0.0029111321745367,58.80659555652005,0.8215699752111506,0.0028985690944981,-0.3679875782741701,1.955200797002803,0.7606579555535685,-0.4389981887662942,0.993936405913452,0.3815367205139622,51.23445758828453
92,7980.0,133.0,train,feed,B,5,winter,none,166091,112.0,133.0,135.66666666666666,354.9446997533811,-0.7753963442815528,0.0029111287912324,63.80880388775679,0.8007888872190192,0.0029144565936461,-0.369631982485521,1.9659175506780584,-4.565219853092414,-0.4409127198492725,0.9940919420243148,0.3856807385271192,49.24490981398957
92,8140.0,135.66666666666666,train,feed,B,5,winter,none,166099,114.66666666666669,135.66666666666666,138.33333333333334,354.8414060847052,1.1326162045351655,0.0029111278782324,69.13041745208605,0.779256717893353,0.0029227908643551,-0.3691281922535024,1.971539349642093,3.8462581307402335,-0.4403264590727789,0.994183708406861,0.3897469139479397,49.43564766091169
