trajectory_id,dataset_split,product,season,batch_number,disturbance_type,T_min_K,T_max_K,final_monomer_added_kg,max_reaction_heat_kW,min_U_kW_m2_K,max_viscosity,max_valve_pct,min_valve_pct,max_feed_rate_kg_s,mean_abs_T_error_K,p95_abs_T_error_K,within_0p5K_pct,within_1p0K_pct
136,train,A,winter,2,none,277.26,355.87191190575925,45.0001450146741,2.4576573052980546,0.2,578.2665854142506,51.99052321371577,47.09239380969736,0.0035637072727986,0.27897690972651507,1.06383042308252,81.85679611650485,94.1747572815534
137,train,A,summer,3,pulse_feed,294.26,355.8250634259343,45.00148225616301,1.9212552371025289,0.2216874838990337,578.3219284497831,51.454345958445735,46.896095199514335,0.0028033283155667,0.10954751689733225,0.3665268259443223,98.69281045751634,100.0
138,train,B,winter,2,none,277.26,355.7113891976475,45.000093793771086,1.9144582920326196,0.2127699205706956,2319.903164165972,51.45648237662305,47.45365975082287,0.0027863366761321,0.2296678222500126,0.9247827336575251,86.93284936479128,95.94676346037507
139,train,B,summer,4,none,294.26,355.8279690405755,45.00000164847378,1.7212496817848275,0.2070323313747947,2319.6829433291714,51.58564923882873,46.45286634536526,0.0025603351689672,0.2396865268949941,0.6637582371277773,88.68263473053892,98.9820359281437
140,val,B,winter,1,cooling_water,277.26,355.7697157410586,45.00302383434755,2.203195838190067,0.216360142023972,2320.2856787502114,51.05675090221499,47.80753172578941,0.0032507244667109,0.08734450140556344,0.40650133633046437,97.23889555822329,99.93997599039616
141,val,A,summer,1,none,294.26,355.8107385650367,45.00001056659224,1.9311390131407875,0.2,578.2610213603657,51.0870191304706,47.27276068770934,0.0028147159507611,0.09790158681518614,0.3503778783242634,98.32535885167464,100.0
142,val,B,summer,1,feed_temp,294.26,355.79590205016774,45.00280421802656,1.9944694003430008,0.2171568227339995,2320.2418751128835,50.87774074219855,47.46209385545643,0.0029140896513005,0.09121552525433756,0.3866378737566549,97.74614472123369,100.0
143,val,A,summer,4,feed_temp,294.26,355.76356964612853,45.0004242274642,1.7199562633452783,0.2199478862383944,578.278140592338,50.8216135972203,49.05963051930721,0.0025286059428378,0.12497831173246615,0.4377336285385752,98.50746268656717,100.0
144,val,A,winter,2,feed_temp,277.26,355.83225045259684,44.99999999999998,1.7497375658006438,0.2202963875026649,578.2605840698322,51.46450064841644,47.86577983590018,0.0025622168433887,0.09665504703792174,0.2721972147238546,99.57627118644068,100.0
145,val,B,summer,5,none,294.26,355.8077055898177,45.00195032608562,2.1564896201163286,0.2,2320.071567858919,51.51211744871808,46.71231885149325,0.0031700253284114,0.18201871341563347,0.5736924237788628,93.67164179104478,99.40298507462687
146,val,A,winter,4,none,277.26,355.8338533481384,45.00017939241746,1.6570958408577312,0.2042529581488254,578.2879784409365,51.68549478034341,47.3728394371731,0.0024291944588868,0.14991216614935093,0.5008518016226446,94.9121744397335,100.0
147,val,B,summer,2,none,294.26,355.7700368522532,45.00074671615904,1.7265018910220271,0.2065520811773196,2319.831526203114,51.2942814600273,47.24694439645714,0.002552046798941,0.18079356730906612,0.6200767592002421,91.4540059347181,99.64391691394658
148,val,A,summer,4,none,294.26,355.7994631894729,45.00121132250671,2.25654012081165,0.2115126620114506,578.3107152907182,51.71263829651885,46.26924239239772,0.0033435508069108,0.2661803197503576,0.7518524088085825,86.0781990521327,98.10426540284361
149,val,A,winter,3,none,277.26,355.8146260493162,45.00069219501024,2.0644042442025308,0.2,578.2892305435109,51.46887568602981,46.8224668349539,0.0030110670383563,0.2138408940892522,0.5647095523736879,92.33110164333537,100.0
